id_detalle_venta,id_venta,id_producto,cantidad,precio_unitario_venta,costo_unitario_venta,descuento_linea,impuesto_linea,subtotal_linea,total_linea
1,1,56,3,12.66,5.85,0.00,0.00,37.98,37.98
2,1,38,4,8.30,4.85,0.00,0.00,33.20,33.20
3,1,5,4,6.17,2.76,0.00,0.00,24.68,24.68
4,2,48,1,36.65,17.58,0.00,0.00,36.65,36.65
5,2,24,2,30.45,14.40,0.00,0.00,60.90,60.90
6,2,23,2,12.04,6.91,0.00,0.00,24.08,24.08
7,3,37,3,7.90,5.38,0.00,0.00,23.70,23.70
8,3,32,5,29.71,17.58,0.00,0.00,148.55,148.55
9,3,45,3,15.84,11.07,0.00,0.00,47.52,47.52
10,3,60,5,3.57,1.51,0.00,0.00,17.85,17.85
11,4,54,4,10.40,5.48,0.00,0.00,41.60,41.60
12,4,6,4,5.87,3.45,0.00,0.00,23.48,23.48
13,5,36,5,19.62,11.38,0.00,0.00,98.10,98.10
14,6,29,3,10.45,7.21,0.00,0.00,31.35,31.35
15,6,39,4,25.29,16.63,0.00,0.00,101.16,101.16
16,6,39,5,25.91,16.63,0.00,0.00,129.55,129.55
17,6,19,4,34.41,20.01,0.00,0.00,137.64,137.64
18,7,5,4,6.17,2.76,0.00,0.00,24.68,24.68
19,7,14,5,3.93,2.08,0.00,0.00,19.65,19.65
20,8,60,1,3.57,1.51,0.00,0.00,3.57,3.57
21,8,60,1,3.49,1.51,0.00,0.00,3.49,3.49
22,8,28,4,4.34,2.78,0.00,0.00,17.36,17.36
23,9,24,5,32.74,14.40,0.00,0.00,163.70,163.70
24,9,31,4,4.91,3.03,0.00,0.00,19.64,19.64
25,9,59,1,4.55,1.97,0.00,0.00,4.55,4.55
26,9,14,2,3.54,2.08,0.00,0.00,7.08,7.08
27,10,32,5,27.37,17.58,0.00,0.00,136.85,136.85
28,10,20,4,11.10,7.01,0.00,0.00,44.40,44.40
29,10,52,4,33.56,23.52,0.00,0.00,134.24,134.24
30,10,34,4,12.28,6.89,0.00,0.00,49.12,49.12
31,10,56,2,12.63,5.85,0.00,0.00,25.26,25.26
32,11,18,3,18.47,12.26,0.00,0.00,55.41,55.41
33,11,56,2,11.70,5.85,0.00,0.00,23.40,23.40
34,11,56,1,11.72,5.85,0.00,0.00,11.72,11.72
35,11,36,3,20.82,11.38,0.00,0.00,62.46,62.46
36,11,35,5,20.58,12.45,0.00,0.00,102.90,102.90
37,12,55,5,6.14,2.53,0.00,0.00,30.70,30.70
38,12,4,5,8.78,4.13,0.00,0.00,43.90,43.90
39,12,20,5,10.63,7.01,0.00,0.00,53.15,53.15
40,12,60,5,3.38,1.51,0.00,0.00,16.90,16.90
41,13,50,2,23.92,13.05,0.00,0.00,47.84,47.84
42,13,39,5,24.28,16.63,0.00,0.00,121.40,121.40
43,13,11,1,3.59,2.23,0.00,0.00,3.59,3.59
44,14,5,5,5.71,2.76,0.00,0.00,28.55,28.55
45,14,10,4,12.85,6.42,0.00,0.00,51.40,51.40
46,14,42,3,11.90,5.39,0.00,0.00,35.70,35.70
47,14,6,3,5.69,3.45,0.00,0.00,17.07,17.07
48,14,9,1,4.30,2.11,0.00,0.00,4.30,4.30
49,14,42,5,10.76,5.39,0.00,0.00,53.80,53.80
50,15,30,5,11.66,5.71,0.00,0.00,58.30,58.30
51,15,6,5,5.84,3.45,0.00,0.00,29.20,29.20
52,15,2,2,13.02,7.99,0.00,0.00,26.04,26.04
53,16,42,3,10.82,5.39,0.00,0.00,32.46,32.46
54,16,46,2,21.12,14.53,0.00,0.00,42.24,42.24
55,17,33,2,10.78,6.80,0.00,0.00,21.56,21.56
56,17,47,3,31.94,15.78,0.00,0.00,95.82,95.82
57,18,28,1,4.91,2.78,0.00,0.00,4.91,4.91
58,18,48,1,40.12,17.58,0.00,0.00,40.12,40.12
59,19,21,1,9.87,5.46,0.00,0.00,9.87,9.87
60,19,1,1,14.54,8.14,0.00,0.00,14.54,14.54
61,20,26,3,5.79,3.42,0.00,0.00,17.37,17.37
62,21,20,1,10.41,7.01,0.00,0.00,10.41,10.41
63,21,10,2,12.04,6.42,0.00,0.00,24.08,24.08
64,22,53,1,22.49,12.61,0.00,0.00,22.49,22.49
65,22,53,1,21.81,12.61,0.00,0.00,21.81,21.81
66,22,14,4,3.90,2.08,0.00,0.00,15.60,15.60
67,22,12,4,7.08,3.53,0.00,0.00,28.32,28.32
68,22,8,3,8.01,5.34,0.00,0.00,24.03,24.03
69,23,54,5,10.37,5.48,0.00,0.00,51.85,51.85
70,23,58,1,4.92,2.92,0.00,0.00,4.92,4.92
71,24,35,4,22.68,12.45,0.00,0.00,90.72,90.72
72,24,16,5,5.20,3.65,0.00,0.00,26.00,26.00
73,24,48,3,41.77,17.58,0.00,0.00,125.31,125.31
74,25,58,5,4.29,2.92,0.00,0.00,21.45,21.45
75,25,13,5,9.75,6.09,0.00,0.00,48.75,48.75
76,25,56,2,13.30,5.85,0.00,0.00,26.60,26.60
77,26,60,2,3.18,1.51,0.00,0.00,6.36,6.36
78,27,43,2,14.25,10.28,0.00,0.00,28.50,28.50
79,27,43,3,14.68,10.28,0.00,0.00,44.04,44.04
80,27,58,1,4.50,2.92,0.00,0.00,4.50,4.50
81,28,13,3,9.69,6.09,0.00,0.00,29.07,29.07
82,29,58,4,4.56,2.92,0.00,0.00,18.24,18.24
83,29,15,2,3.95,1.91,0.00,0.00,7.90,7.90
84,30,15,3,4.38,1.91,0.00,0.00,13.14,13.14
85,31,46,5,22.70,14.53,0.00,0.00,113.50,113.50
86,31,47,3,29.68,15.78,0.00,0.00,89.04,89.04
87,32,34,4,13.10,6.89,0.00,0.00,52.40,52.40
88,33,43,4,15.39,10.28,0.00,0.00,61.56,61.56
89,33,56,3,12.84,5.85,0.00,0.00,38.52,38.52
90,33,2,4,12.03,7.99,0.00,0.00,48.12,48.12
91,33,35,3,20.76,12.45,0.00,0.00,62.28,62.28
92,34,13,1,9.67,6.09,0.00,0.00,9.67,9.67
93,34,9,5,4.18,2.11,0.00,0.00,20.90,20.90
94,35,58,3,4.67,2.92,0.00,0.00,14.01,14.01
95,36,7,5,8.13,4.00,0.00,0.00,40.65,40.65
96,36,44,1,12.85,9.30,0.00,0.00,12.85,12.85
97,37,4,4,8.56,4.13,0.00,0.00,34.24,34.24
98,37,39,2,23.96,16.63,0.00,0.00,47.92,47.92
99,38,42,3,11.12,5.39,0.00,0.00,33.36,33.36
100,38,16,3,5.30,3.65,0.00,0.00,15.90,15.90
101,39,11,1,3.60,2.23,0.00,0.00,3.60,3.60
102,39,18,4,19.19,12.26,0.00,0.00,76.76,76.76
103,40,25,2,5.62,3.77,0.00,0.00,11.24,11.24
104,40,42,3,11.51,5.39,0.00,0.00,34.53,34.53
105,40,48,2,37.03,17.58,0.00,0.00,74.06,74.06
106,41,56,5,13.44,5.85,0.00,0.00,67.20,67.20
107,41,58,1,4.65,2.92,0.00,0.00,4.65,4.65
108,41,32,4,28.60,17.58,0.00,0.00,114.40,114.40
109,41,59,3,4.64,1.97,0.00,0.00,13.92,13.92
110,41,38,2,7.28,4.85,0.00,0.00,14.56,14.56
111,42,14,4,3.45,2.08,0.00,0.00,13.80,13.80
112,42,30,4,10.38,5.71,0.00,0.00,41.52,41.52
113,42,38,2,7.91,4.85,0.00,0.00,15.82,15.82
114,43,21,4,10.06,5.46,0.00,0.00,40.24,40.24
115,43,23,3,11.03,6.91,0.00,0.00,33.09,33.09
116,44,10,1,12.98,6.42,0.00,0.00,12.98,12.98
117,44,26,2,5.75,3.42,0.00,0.00,11.50,11.50
118,44,2,1,12.86,7.99,0.00,0.00,12.86,12.86
119,45,60,1,3.33,1.51,0.00,0.00,3.33,3.33
120,45,13,1,9.69,6.09,0.00,0.00,9.69,9.69
121,45,1,3,14.92,8.14,0.00,0.00,44.76,44.76
122,45,57,4,6.06,4.03,0.00,0.00,24.24,24.24
123,46,25,4,5.66,3.77,0.00,0.00,22.64,22.64
124,46,33,3,10.73,6.80,0.00,0.00,32.19,32.19
125,46,6,4,6.25,3.45,0.00,0.00,25.00,25.00
126,46,54,3,10.83,5.48,0.00,0.00,32.49,32.49
127,47,11,1,3.34,2.23,0.00,0.00,3.34,3.34
128,47,38,2,7.34,4.85,0.00,0.00,14.68,14.68
129,47,30,4,10.55,5.71,0.00,0.00,42.20,42.20
130,47,9,2,4.48,2.11,0.00,0.00,8.96,8.96
131,48,21,3,10.95,5.46,0.00,0.00,32.85,32.85
132,48,23,1,12.62,6.91,0.00,0.00,12.62,12.62
133,49,43,3,16.03,10.28,0.00,0.00,48.09,48.09
134,49,17,1,32.70,19.07,0.00,0.00,32.70,32.70
135,50,39,1,24.67,16.63,0.00,0.00,24.67,24.67
136,50,13,5,10.15,6.09,0.00,0.00,50.75,50.75
137,50,6,3,6.12,3.45,0.00,0.00,18.36,18.36
138,51,44,5,13.40,9.30,0.00,0.00,67.00,67.00
139,52,19,3,36.87,20.01,0.00,0.00,110.61,110.61
140,53,29,5,11.71,7.21,0.00,0.00,58.55,58.55
141,53,56,4,12.93,5.85,0.00,0.00,51.72,51.72
142,53,35,5,20.34,12.45,0.00,0.00,101.70,101.70
143,53,33,4,11.16,6.80,0.00,0.00,44.64,44.64
144,53,30,4,10.55,5.71,0.00,0.00,42.20,42.20
145,54,55,3,5.91,2.53,0.00,0.00,17.73,17.73
146,54,36,5,20.81,11.38,0.00,0.00,104.05,104.05
147,54,19,2,36.01,20.01,0.00,0.00,72.02,72.02
148,55,21,4,9.79,5.46,0.00,0.00,39.16,39.16
149,55,38,2,7.75,4.85,0.00,0.00,15.50,15.50
150,56,1,2,15.40,8.14,0.00,0.00,30.80,30.80
151,56,33,2,10.91,6.80,0.00,0.00,21.82,21.82
152,56,9,5,4.34,2.11,0.00,0.00,21.70,21.70
153,56,4,3,8.46,4.13,0.00,0.00,25.38,25.38
154,56,32,2,29.28,17.58,0.00,0.00,58.56,58.56
155,57,16,2,5.38,3.65,0.00,0.00,10.76,10.76
156,58,56,4,13.49,5.85,0.00,0.00,53.96,53.96
157,58,47,5,29.85,15.78,0.00,0.00,149.25,149.25
158,58,17,2,32.80,19.07,0.00,0.00,65.60,65.60
159,58,44,2,13.85,9.30,0.00,0.00,27.70,27.70
160,59,51,1,23.93,17.62,0.00,0.00,23.93,23.93
161,59,31,1,4.72,3.03,0.00,0.00,4.72,4.72
